Aquarium,Tadpoles,Remaining Litter Mass,Leaf Litter Treatment
1,FALSE,72031,Cerrado
2,TRUE,73369,Cerrado
3,TRUE,17079,Pasture
4,TRUE,23710,Pasture
5,FALSE,80431,Cerrado
6,TRUE,83263,Cerrado
7,TRUE,28799,Sugarcane
8,TRUE,86900,Cerrado
9,TRUE,72280,Cerrado
10,TRUE,25814,Pasture
11,FALSE,78356,Cerrado
12,FALSE,45143,Sugarcane
13,TRUE,35153,Sugarcane
14,FALSE,30262,Pasture
15,FALSE,29760,Pasture
16,TRUE,42027,Sugarcane
17,TRUE,32706,Pasture
18,TRUE,47257,Sugarcane
19,TRUE,19311,Pasture
20,TRUE,20227,Pasture
21,TRUE,20496,Sugarcane
22,TRUE,83082,Cerrado
23,TRUE,17526,Pasture
24,TRUE,74678,Cerrado
25,TRUE,20188,Pasture
26,TRUE,70069,Cerrado
27,FALSE,29500,Sugarcane
28,FALSE,39979,Sugarcane
29,TRUE,25662,Pasture
30,TRUE,64230,Cerrado
31,TRUE,76087,Cerrado
32,TRUE,20822,Pasture
33,TRUE,34601,Sugarcane
34,TRUE,16572,Pasture
35,TRUE,41846,Sugarcane
36,TRUE,34460,Sugarcane
37,FALSE,21322,Pasture
38,FALSE,26103,Pasture
39,TRUE,34679,Sugarcane
40,TRUE,74527,Cerrado
41,FALSE,40501,Sugarcane
42,TRUE,37273,Sugarcane
43,TRUE,72507,Cerrado
44,TRUE,21870,Pasture
45,TRUE,34440,Sugarcane
46,TRUE,65156,Cerrado
47,FALSE,73313,Cerrado
48,TRUE,34297,Sugarcane
