id,Aquarium,Tadpoles,Leaf Litter Treatment,Species,Temperature,pH,DOp,DOmg,Conductivity,Turbidity ,Date 
1,1,FALSE,Cerrado,Control,24.2,6.8,75,6.44,242,1.28,26/11/2019
2,2,TRUE,Cerrado,S. fuscovarius,24.7,6.83,64,5.35,221.7,0.92,26/11/2019
3,3,TRUE,Pasture,S. fuscovarius,24.6,7.3,69,5.7,432,2.03,26/11/2019
4,4,TRUE,Pasture,P. cuvieri,25,4.65,73.8,6.09,482.7,1.75,26/11/2019
5,5,FALSE,Cerrado,Control,25.1,6.7,52.5,4.28,232.4,0.78,26/11/2019
6,6,TRUE,Cerrado,Physalaemus sp.,24.9,6.85,68.5,5.62,227.7,2.14,26/11/2019
7,7,TRUE,Sugarcane,S. fuscovarius,24.9,7.38,64.1,5.25,278.8,0.69,26/11/2019
8,8,TRUE,Cerrado,P. cuvieri,25.3,6.92,69.8,5.73,220.6,0.81,26/11/2019
9,9,TRUE,Cerrado,S. fuscovarius,24.9,7.2,80.9,6.73,211.2,0.97,26/11/2019
10,10,TRUE,Pasture,S. fuscovarius,25.2,7.49,40.3,3.35,467.6,4.18,26/11/2019
11,11,FALSE,Cerrado,Control,25.6,7.11,78.3,6.42,224.9,0.62,26/11/2019
12,12,FALSE,Sugarcane,Control,25.2,7.33,48.7,4,341.8,1.75,26/11/2019
13,13,TRUE,Sugarcane,Physalaemus sp.,25.1,7.57,70.7,5.8,301.1,2.43,26/11/2019
14,14,FALSE,Pasture,Control,25.1,7.39,35.5,2.89,480,5.1,26/11/2019
15,15,FALSE,Pasture,Control,24.4,7.39,28.5,2.35,491,8.12,26/11/2019
16,16,TRUE,Sugarcane,P. cuvieri,23.4,7.2,47.5,4.12,280.8,1.53,26/11/2019
17,17,TRUE,Pasture,Physalaemus sp.,23.5,7.65,63.5,5.38,520,3.47,26/11/2019
18,18,TRUE,Sugarcane,Physalaemus sp.,23.9,7.01,4.5,0.36,332.7,6.07,26/11/2019
19,19,TRUE,Pasture,S. fuscovarius,24.5,7.6,58.1,4.75,530,6.26,26/11/2019
20,20,TRUE,Pasture,S. fuscovarius,25.3,7.55,58.9,7.88,458.7,5.57,26/11/2019
21,21,TRUE,Sugarcane,S. fuscovarius,25.1,7.37,66.3,5.47,256.9,0.94,26/11/2019
22,22,TRUE,Cerrado,P. cuvieri,25.6,6.94,59.5,4.86,242,2.07,26/11/2019
23,23,TRUE,Pasture,P. cuvieri,25.9,7.3,15,1.2,516,2.05,26/11/2019
24,24,TRUE,Cerrado,Physalaemus sp.,25.5,6.81,35.7,2.94,229.3,3.39,26/11/2019
25,25,TRUE,Pasture,P. cuvieri,25.2,7.48,59.9,4.92,406.5,3.39,26/11/2019
26,26,TRUE,Cerrado,P. cuvieri,25.4,7.17,77.1,6.3,226.1,1.21,26/11/2019
27,27,FALSE,Sugarcane,Control,25.1,7.41,68.4,5.64,279.1,1.33,26/11/2019
28,28,FALSE,Sugarcane,Control,24.9,7.53,73.8,6.15,259.8,0.6,26/11/2019
29,29,TRUE,Pasture,P. cuvieri,25.1,7.5,61.9,5.13,412,2.81,26/11/2019
30,30,TRUE,Cerrado,S. fuscovarius,24.4,7.28,75.5,6.08,171.5,1.8,26/11/2019
31,31,TRUE,Cerrado,Physalaemus sp.,22.9,6.75,62.8,5.39,236.7,2.64,26/11/2019
32,32,TRUE,Pasture,Physalaemus sp.,23.1,7.67,67.6,5.73,464.5,4.66,26/11/2019
33,33,TRUE,Sugarcane,P. cuvieri,23.2,7.13,67.6,5.74,255.1,0.65,26/11/2019
34,34,TRUE,Pasture,Physalaemus sp.,23.8,7.73,80.5,6.79,439.5,7.58,26/11/2019
35,35,TRUE,Sugarcane,P. cuvieri,23.9,7.12,26.2,2.19,273.7,0.74,26/11/2019
36,36,TRUE,Sugarcane,P. cuvieri,23.8,7.27,64.3,5.44,312.4,0.65,26/11/2019
37,37,FALSE,Pasture,Control,23.8,7.69,81.5,6.9,424.8,8.59,26/11/2019
38,38,FALSE,Pasture,Control,23.9,7.58,60,5.04,447.4,1.98,26/11/2019
39,39,TRUE,Sugarcane,Physalaemus sp.,23.7,7.43,63.5,5.85,274.9,0.8,26/11/2019
40,40,TRUE,Cerrado,Physalaemus sp.,24,7.41,71.8,6.02,286.7,6.76,26/11/2019
41,41,FALSE,Sugarcane,Control,23.8,7.26,78.3,6.67,239,1.81,26/11/2019
42,42,TRUE,Sugarcane,S. fuscovarius,23.8,7.43,72.6,6.14,276.5,0.55,26/11/2019
43,43,TRUE,Cerrado,S. fuscovarius,23.6,7.28,84.1,7.12,198,3.59,26/11/2019
44,44,TRUE,Pasture,Physalaemus sp.,23.7,7.53,68,5.72,399,3.98,26/11/2019
45,45,TRUE,Sugarcane,Physalaemus sp.,23.1,7.63,80.2,6.88,228.1,0.49,26/11/2019
46,46,TRUE,Cerrado,P. cuvieri,23.4,7.25,80.6,6.87,207.8,2.23,26/11/2019
47,47,FALSE,Cerrado,Control,23.6,7.13,67.7,5.73,259,2.09,26/11/2019
48,48,TRUE,Sugarcane,S. fuscovarius,23.7,7.38,60.8,5.13,291.5,1.46,26/11/2019
49,1,FALSE,Cerrado,Control,25.5,6.22,75.5,6.16,193.7,0.97,17/12/2019
50,2,TRUE,Cerrado,S. fuscovarius,25.7,7.01,34.4,2.8,215,0.84,17/12/2019
51,3,TRUE,Pasture,S. fuscovarius,25.3,7.46,73.5,6.03,470.5,2.71,17/12/2019
52,4,TRUE,Pasture,P. cuvieri,24.7,7.67,45.9,3.81,472.8,3.66,17/12/2019
53,5,FALSE,Cerrado,Control,24.8,7.33,63.5,5.26,208.2,1.87,17/12/2019
