ID,survey,amostrado,land_use,D_minutus,D_nanus,Scinax,P_nattereri,P_cuvieri,L_fuscus
JT01,1,sim,cerrado,1.417312661,0.006459948,1.025839793,0,0.733850129,0
JT02,1,sim,cerrado,0,0,0,0,0.080369357,0
JT04,1,sim,cerrado,0,0.003488372,0,0,0.217054264,0
JT05,1,sim,cerrado,0,0,0,0,0,0
JT06,1,não,cerrado,,,,,,
JT08,1,sim,cerrado,0,0,0.046511628,0,0.674418605,23.18604651
JT09,1,não,cerrado,,,,,,
JT10,1,sim,cerrado,0,0,32.65116279,0,0.418604651,1.379844961
JT14,1,não,cerrado,,,,,,
JT16,1,não,cerrado,,,,,,
AMP03,1,sim,pastagem,0,0,1.031007752,0,0,3.426356589
AMP06,1,sim,pastagem,0,0,0,0,0.11627907,0
AMP09,1,sim,pastagem,0,0,0,0,0,0
AMP16,1,sim,pastagem,0,0,0,0,1,0
AMP17,1,sim,pastagem,0,0,14.50387597,1.968992248,1.720930233,0.658914729
AMP21,1,não,pastagem,,,,,,
AMC02  ,1,sim,canavial,0,0,0.062015504,22.60077519,0,0.825581395
CC07,1,sim,canavial,0,0,0,0,0.001033592,0
CC08,1,sim,canavial,1.090439276,0,15.53229974,0,0.200258398,0
CC09,1,sim,canavial,0,0.000775194,0,0,0.562015504,0
CC22,1,não,canavial,,,,,,
CC23,1,sim,canavial,0,0,0,0.013953488,0,26.74418605
CC28,1,sim,canavial,0,0,0,9.255813953,0,80.51162791
CC34,1,sim,canavial,0,0,0,1.856589147,0,1.587209302
CC38,1,sim,canavial,0,0,0,6.96124031,0,0.325581395
CC39,1,sim,canavial,0,0,0,0.565891473,0,4.015503876
CC43,1,não,canavial,,,,,,
JT01,2,sim,cerrado,3.885237614,0.289433771,2.363498483,0,1.102123357,0
JT02,2,sim,cerrado,0.282945736,0.046511628,29.08139535,0,0.503875969,0
JT04,2,sim,cerrado,0,0.052513128,0,0,0,0
JT05,2,sim,cerrado,0,0,0,0,0,0
JT06,2,sim,cerrado,0,0,0,0,0,0
JT08,2,sim,cerrado,0,0,4.612403101,0,0,0.348837209
JT09,2,sim,cerrado,0.007751938,0,5.457364341,0,0,0
JT10,2,sim,cerrado,6.197674419,0,18.86046512,0,8.069767442,0
JT14,2,sim,cerrado,0,0,0,0,0,0
JT16,2,sim,cerrado,0,0,0.037509377,0,0.015003751,0
AMP03,2,sim,pastagem,0,0,5.565891473,9.635658915,0.019379845,0
AMP06,2,sim,pastagem,0,0,0,0,0,0
AMP09,2,sim,pastagem,0,0,0,0,0,0
AMP16,2,sim,pastagem,0,0.271317829,0,0,0.096899225,0
AMP17,2,sim,pastagem,0,0.224806202,0,0,0.856589147,0
AMP21,2,sim,pastagem,0,0,15.65116279,15.44573643,0,0
AMC02  ,2,sim,canavial,0,0,11.94186047,41.31395349,0.081395349,0
CC07,2,sim,canavial,11.63915979,0.235058765,56.09652413,0,0.885221305,0
CC08,2,sim,canavial,5.470284238,0,9.73126615,0,1.312661499,0
CC09,2,sim,canavial,0,0.043927649,0,0,1.312661499,0
CC22,2,sim,canavial,0,0,1.255813953,30.40697674,0,7.531007752
CC23,2,não,canavial,,,,,,
CC28,2,não,canavial,,,,,,
CC34,2,não,canavial,,,,,,
CC38,2,não,canavial,,,,,,
CC39,2,não,canavial,,,,,,
CC43,2,sim,canavial,0,0,0,0,0,2.410852713
