ID,land_use,survey,amostrado,Rhinella_schneideri,Dendropsophus_minutus,Dendropsophus_nanus,Hypsiboas_faber,Hypsiboas_albopunctatus,Hypsiboas_lundii,Hypsiboas_raniceps,Scinax_spp_,Trachycephalus_venulosus,Eupemphix_nattereri,Physalaemus_centralis,Physalaemus_cuvieri,Phyllomedusa_hypochondrialis,Leptodactylus_fuscus,Leptodactylus_labyrinthicus,Leptodactylus_mystacinus,Leptodactylus_mystaceus,Leptodactylus_podicipinus,Odontophrynus_cultripes,Dermatonotus_muelleri,Elachistocleis_sp,Chiasmocleis_albopunctata
JT01,cerrado,1,s,0,1.417312661,0.006459948,2.471576227,0,0,0,1.025839793,0,0,0,0.733850129,0,0,0.169250646,0,0.073643411,8.660206718,1.069767442,0,0.009043928,0
JT02,cerrado,1,s,0,0,0,0,0,0,0,0,0.088919289,0,0.002735978,0.080369357,0,0,0,0,47.61798906,0,0,5.184678523,0,1.725376197
JT04,cerrado,1,s,0,0,0.003488372,0,0,0,0,0,0,0,0,0.217054264,0,0,0,0,0,0,0,0,0,0
JT05,cerrado,1,s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JT06,cerrado,1,n,,,,,,,,,,,,,,,,,,,,,,
JT08,cerrado,1,s,0,0,0,0,0,0,0,0.046511628,0,0,0,0.674418605,0,23.18604651,0,0,0,0,0,0,0,0
JT09,cerrado,1,n,,,,,,,,,,,,,,,,,,,,,,
JT10,cerrado,1,s,0,0,0,0,0,0,0,32.65116279,0,0,0,0.418604651,0,1.379844961,0.100775194,0,0,0,0,0,0.007751938,0.325581395
JT14,cerrado,1,n,,,,,,,,,,,,,,,,,,,,,,
JT16,cerrado,1,n,,,,,,,,,,,,,,,,,,,,,,
AMP03,pastagem,1,s,0,0,0,0,0,0,0,1.031007752,0,0,0,0,0,3.426356589,0,0,0,0,0,8.759689922,0,0
AMP06,pastagem,1,s,17.40310078,0,0,0,0,0,0,0,0,0,0,0.11627907,0,0,0,0,0,3.100775194,0,0,0,0
AMP09,pastagem,1,s,12.874677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMP16,pastagem,1,s,15.65503876,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AMP17,pastagem,1,s,3.496124031,0,0,0,0,0,0,14.50387597,0,1.968992248,0,1.720930233,0,0.658914729,0,0,0,0,0,0,0,0
AMP21,pastagem,1,n,,,,,,,,,,,,,,,,,,,,,,
AMC02  ,canavial,1,s,0,0,0,0,0,0,0,0.062015504,0,22.60077519,0,0,0,0.825581395,0,1.585271318,0,0,0,0,0,0
CC07,canavial,1,s,0,0,0,0,0,0,0,0,0,0,0,0.001033592,0,0,0,0,0,0,0,0,0,0
CC08,canavial,1,s,0,1.090439276,0,0,0,0,0,15.53229974,0,0,0,0.200258398,0,0,0,0,0,0,0,0,0,0
CC09,canavial,1,s,0,0,0.000775194,0,0,0,0,0,0,0,0,0.562015504,0,0,0,0,0,0,0,0,0,0
CC22,canavial,1,n,,,,,,,,,,,,,,,,,,,,,,
CC23,canavial,1,s,0,0,0,0,0,0,0,0,0,0.013953488,0,0,0,26.74418605,0,0,0,0,0,0,0,0
CC28,canavial,1,s,0,0,0,0,0,0,0,0,0,9.255813953,0,0,0,80.51162791,0,0,0,0,0,0,0,0
CC34,canavial,1,s,0,0,0,0,0,0,0,0,0,1.856589147,0,0,0,1.587209302,0,0,0,0,0,0,0,0
CC38,canavial,1,s,0,0,0,0,0,0,0,0,0,6.96124031,0,0,0,0.325581395,0,0,0,0,0,0,0,0
CC39,canavial,1,s,0,0,0,0,0,0,0,0,0,0.565891473,0,0,0,4.015503876,0,0,0,0,0,0,0,0
CC43,canavial,1,n,,,,,,,,,,,,,,,,,,,,,,
JT01,cerrado,2,s,0,3.885237614,0.289433771,7.034883721,0.102376138,0.169362993,0,2.363498483,0,0,0,1.102123357,0,0,0,0,0,34.54499494,0.552325581,0,0,0
JT02,cerrado,2,s,0,0.282945736,0.046511628,0.26744186,0,0,0,29.08139535,0,0,0,0.503875969,0,0,0,0,0,0,0,0,0,0
JT04,cerrado,2,s,0,0,0.052513128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JT05,cerrado,2,s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JT06,cerrado,2,s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JT08,cerrado,2,s,0,0,0,0,0,0,0,4.612403101,0,0,0,0,0,0.348837209,0,0,0,0,0,0,0,0
JT09,cerrado,2,s,0,0.007751938,0,0,0,0,0,5.457364341,0,0,0,0,0,0,0,0,0,0,0,0,0.302325581,0.07751938
JT10,cerrado,2,s,0,6.197674419,0,0,0,0,0,18.86046512,0,0,0,8.069767442,0,0,0,0,0,0,0,0,0.127906977,0
JT14,cerrado,2,s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JT16,cerrado,2,s,0,0,0,0,0,0,0,0.037509377,0,0,0,0.015003751,0,0,0,0,0,0,0,0,0,0
AMP03,pastagem,2,s,0,0,0,0,0,0,0,5.565891473,0,9.635658915,0,0.019379845,0,0,0,0,0,0,0,0,0,0
AMP06,pastagem,2,s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMP09,pastagem,2,s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMP16,pastagem,2,s,0,0,0.271317829,0,0,0,0,0,0,0,0,0.096899225,0,0,0,0,0,0,0,0,0,0
AMP17,pastagem,2,s,0,0,0.224806202,0,0,0,0,0,0,0,0,0.856589147,0,0,0,0,0,0,0,0,0,0
AMP21,pastagem,2,s,0,0,0,0,0,0,0,15.65116279,0,15.44573643,0,0,0,0,0,0,0,0,0,0,0,0
AMC02  ,canavial,2,s,0,0,0,0,0,0,0,11.94186047,0,41.31395349,0,0.081395349,0,0,0,0,0,0,0,0,0,0
CC07,canavial,2,s,0,11.63915979,0.235058765,0,0,0,0,56.09652413,0,0,0,0.885221305,2.301825456,0,0,0,0,0,0,0,0.296324081,0
CC08,canavial,2,s,0,5.470284238,0,0,0,0,0,9.73126615,0,0,0,1.312661499,0.630490956,0,0,0,0,0,0,0,0.001162791,0
CC09,canavial,2,s,0,0,0.043927649,0,0,0,0,0,0,0,0,1.312661499,0,0,0,0,0,0,0,0,0,0
CC22,canavial,2,s,0,0,0,0,0,0,0,1.255813953,0,30.40697674,0.089147287,0,0,7.531007752,0,0,0,0,0,0,0,0
CC23,canavial,2,n,,,,,,,,,,,,,,,,,,,,,,
CC28,canavial,2,n,,,,,,,,,,,,,,,,,,,,,,
CC34,canavial,2,n,,,,,,,,,,,,,,,,,,,,,,
CC38,canavial,2,n,,,,,,,,,,,,,,,,,,,,,,
CC39,canavial,2,n,,,,,,,,,,,,,,,,,,,,,,
CC43,canavial,2,s,0,0,0,0,0,0,0,0,0,0,0,0,0,2.410852713,0,0,0,0,0,0,0,0
