ID,amostrado,survey,land_use,D_minutus,D_nanus,Scinax,P_nattereri,P_cuvieri,L_fuscus
JT01,sim,1,cerrado,9.819121447,0.516795866,9.560723514,0,18.73385013,0
JT02,sim,1,cerrado,0,0,0,0,8.378932969,0
JT04,sim,1,cerrado,0,0.387596899,0,0,2.325581395,0
JT05,sim,1,cerrado,0,0,0,0,0,0
JT06,não,1,cerrado,,,,,,
JT08,sim,1,cerrado,0,0,4.651162791,0,62.79069767,83.72093023
JT09,não,1,cerrado,,,,,,
JT10,sim,1,cerrado,0,0,565.8914729,0,8.527131783,6.976744186
JT14,não,1,cerrado,,,,,,
JT16,não,1,cerrado,,,,,,
AMP03,sim,1,pastagem,0,0,10.07751938,0,0,3.875968992
AMP06,sim,1,pastagem,0,0,0,0,1.937984496,0
AMP09,sim,1,pastagem,0,0,0,0,0,0
AMP16,sim,1,pastagem,0,0,0,0,17.44186047,0
AMP17,sim,1,pastagem,0,0,173.6434109,10.07751938,18.60465116,1.550387597
AMP21,não,1,pastagem,,,,,,
AMC02,sim,1,canavial,0,0,2.713178295,23.25581395,0,1.937984496
CC07,sim,1,canavial,0,0,0,0,0.129198966,0
CC08,sim,1,canavial,21.57622739,0,293.1524548,0,4.909560724,0
CC09,sim,1,canavial,0,0.129198966,0,0,8.010335917,0
CC22,não,1,canavial,,,,,,
CC23,sim,1,canavial,0,0,0,2.325581395,0,46.51162791
CC28,sim,1,canavial,0,0,0,444.1860465,0,474.4186047
CC34,sim,1,canavial,0,0,0,14.14728682,0,1.744186047
CC38,sim,1,canavial,0,0,0,103.875969,0,0.775193798
CC39,sim,1,canavial,0,0,0,12.40310078,0,25.58139535
CC43,não,1,canavial,,,,,,
JT01,sim,2,cerrado,22.24469161,3.53892821,7.330637007,0,7.83619818,0
JT02,sim,2,cerrado,3.488372093,1.937984496,64.34108527,0,5.426356589,0
JT04,sim,2,cerrado,0,2.250562641,0,0,0,0
JT05,sim,2,cerrado,0,0,0,0,0,0
JT06,sim,2,cerrado,0,0,0,0,0,0
JT08,sim,2,cerrado,0,0,110.0775194,0,0,0.775193798
JT09,sim,2,cerrado,0.775193798,0,176.744186,0,0,0
JT10,sim,2,cerrado,50.7751938,0,74.03100775,0,47.28682171,0
JT14,sim,2,cerrado,0,0,0,0,0,0
JT16,sim,2,cerrado,0,0,0.750187547,0,0.375093773,0
AMP03,sim,2,pastagem,0,0,36.04651163,20.54263566,0.387596899,0
AMP06,sim,2,pastagem,0,0,0,0,0,0
AMP09,sim,2,pastagem,0,0,0,0,0,0
AMP16,sim,2,pastagem,0,1.937984496,0,0,0.775193798,0
AMP17,sim,2,pastagem,0,8.139534884,0,0,13.56589147,0
AMP21,sim,2,pastagem,0,0,136.8217054,26.35658915,0,0
AMC02,sim,2,canavial,0,0,49.2248062,74.03100775,0.775193798,0
CC07,sim,2,canavial,90.14753688,3.500875219,173.5433858,0,7.501875469,0
CC08,sim,2,canavial,24.03100775,0,19.37984496,0,11.49870801,0
CC09,sim,2,canavial,0,1.291989664,0,0,13.56589147,0
CC22,sim,2,canavial,0,0,6.201550388,31.78294574,0,10.46511628
CC23,não,2,canavial,,,,,,
CC28,não,2,canavial,,,,,,
CC34,não,2,canavial,,,,,,
CC38,não,2,canavial,,,,,,
CC39,não,2,canavial,,,,,,
CC43,sim,2,canavial,0,0,0,0,0,12.40310078
