id,id_per_aquaria,Aquarium,Gosner Stage,Tadpole Mass,Species,Leaf Litter Treatment,Survival
1,1,2,30,390,S. fuscovarius,Cerrado,1
2,2,2,31,484,S. fuscovarius,Cerrado,1
3,3,2,31,415,S. fuscovarius,Cerrado,1
4,4,2,31,403,S. fuscovarius,Cerrado,1
5,5,2,33,495,S. fuscovarius,Cerrado,1
6,6,2,29,377,S. fuscovarius,Cerrado,1
7,7,2,26,176,S. fuscovarius,Cerrado,1
8,8,2,31,398,S. fuscovarius,Cerrado,1
9,9,2,28,350,S. fuscovarius,Cerrado,1
10,10,2,30,365,S. fuscovarius,Cerrado,1
11,11,2,30,447,S. fuscovarius,Cerrado,1
12,12,2,26,258,S. fuscovarius,Cerrado,1
13,13,2,31,479,S. fuscovarius,Cerrado,1
14,14,2,28,328,S. fuscovarius,Cerrado,1
15,15,2,27,280,S. fuscovarius,Cerrado,1
16,16,2,32,554,S. fuscovarius,Cerrado,1
17,17,2,28,267,S. fuscovarius,Cerrado,1
18,18,2,31,399,S. fuscovarius,Cerrado,1
19,19,2,,,S. fuscovarius,Cerrado,0
20,20,2,,,S. fuscovarius,Cerrado,0
21,1,3,36,811,S. fuscovarius,Pasture,1
22,2,3,34,764,S. fuscovarius,Pasture,1
23,3,3,34,671,S. fuscovarius,Pasture,1
24,4,3,35,663,S. fuscovarius,Pasture,1
25,5,3,35,706,S. fuscovarius,Pasture,1
26,6,3,33,618,S. fuscovarius,Pasture,1
27,7,3,34,597,S. fuscovarius,Pasture,1
28,8,3,33,537,S. fuscovarius,Pasture,1
29,9,3,35,647,S. fuscovarius,Pasture,1
30,10,3,35,755,S. fuscovarius,Pasture,1
31,11,3,32,456,S. fuscovarius,Pasture,1
32,12,3,31,358,S. fuscovarius,Pasture,1
33,13,3,35,750,S. fuscovarius,Pasture,1
34,14,3,35,636,S. fuscovarius,Pasture,1
35,15,3,33,540,S. fuscovarius,Pasture,1
36,16,3,34,462,S. fuscovarius,Pasture,1
37,17,3,35,580,S. fuscovarius,Pasture,1
38,18,3,34,602,S. fuscovarius,Pasture,1
39,19,3,34,500,S. fuscovarius,Pasture,1
40,20,3,34,669,S. fuscovarius,Pasture,1
41,1,4,38,242,P. cuvieri,Pasture,1
42,2,4,40,314,P. cuvieri,Pasture,1
43,3,4,37,227,P. cuvieri,Pasture,1
44,4,4,37,230,P. cuvieri,Pasture,1
45,5,4,37,282,P. cuvieri,Pasture,1
46,6,4,37,263,P. cuvieri,Pasture,1
47,7,4,36,220,P. cuvieri,Pasture,1
48,8,4,37,215,P. cuvieri,Pasture,1
49,9,4,37,310,P. cuvieri,Pasture,1
50,10,4,37,216,P. cuvieri,Pasture,1
51,11,4,37,221,P. cuvieri,Pasture,1
52,12,4,36,177,P. cuvieri,Pasture,1
53,13,4,38,205,P. cuvieri,Pasture,1
54,14,4,39,248,P. cuvieri,Pasture,1
55,15,4,36,186,P. cuvieri,Pasture,1
56,16,4,36,156,P. cuvieri,Pasture,1
57,17,4,37,217,P. cuvieri,Pasture,1
58,18,4,37,208,P. cuvieri,Pasture,1
59,19,4,37,223,P. cuvieri,Pasture,1
60,20,4,36,188,P. cuvieri,Pasture,1
61,1,6,31,95,P. centralis,Cerrado,1
62,2,6,29,95,P. nattereri,Cerrado,1
63,3,6,28,72,P. nattereri,Cerrado,1
64,4,6,27,47,P. nattereri,Cerrado,1
65,5,6,28,71,P. nattereri,Cerrado,1
66,6,6,26,39,P. nattereri,Cerrado,1
67,7,6,27,53,P. nattereri,Cerrado,1
68,8,6,29,82,P. nattereri,Cerrado,1
69,9,6,28,57,P. nattereri,Cerrado,1
70,10,6,26,32,P. nattereri,Cerrado,1
71,11,6,27,40,P. nattereri,Cerrado,1
72,12,6,,,P. nattereri,Cerrado,0
73,13,6,,,P. nattereri,Cerrado,0
74,14,6,,,P. nattereri,Cerrado,0
75,15,6,,,P. nattereri,Cerrado,0
76,16,6,,,P. nattereri,Cerrado,0
77,17,6,,,P. nattereri,Cerrado,0
78,18,6,,,P. nattereri,Cerrado,0
79,19,6,,,P. nattereri,Cerrado,0
80,20,6,,,P. nattereri,Cerrado,0
81,1,7,35,925,S. fuscovarius,Sugarcane,1
82,2,7,34,858,S. fuscovarius,Sugarcane,1
83,3,7,35,948,S. fuscovarius,Sugarcane,1
84,4,7,35,835,S. fuscovarius,Sugarcane,1
85,5,7,35,737,S. fuscovarius,Sugarcane,1
86,6,7,35,815,S. fuscovarius,Sugarcane,1
87,7,7,34,738,S. fuscovarius,Sugarcane,1
88,8,7,36,877,S. fuscovarius,Sugarcane,1
89,9,7,35,898,S. fuscovarius,Sugarcane,1
90,10,7,35,808,S. fuscovarius,Sugarcane,1
91,11,7,35,849,S. fuscovarius,Sugarcane,1
92,12,7,32,619,S. fuscovarius,Sugarcane,1
93,13,7,35,829,S. fuscovarius,Sugarcane,1
94,14,7,34,742,S. fuscovarius,Sugarcane,1
95,15,7,35,888,S. fuscovarius,Sugarcane,1
96,16,7,36,970,S. fuscovarius,Sugarcane,1
97,17,7,31,497,S. fuscovarius,Sugarcane,1
98,18,7,34,672,S. fuscovarius,Sugarcane,1
99,19,7,32,600,S. fuscovarius,Sugarcane,1
100,20,7,34,753,S. fuscovarius,Sugarcane,1
101,1,8,26,34,P. cuvieri,Cerrado,1
102,2,8,28,43,P. cuvieri,Cerrado,1
103,3,8,27,41,P. cuvieri,Cerrado,1
104,4,8,27,35,P. cuvieri,Cerrado,1
105,5,8,29,49,P. cuvieri,Cerrado,1
106,6,8,28,49,P. cuvieri,Cerrado,1
107,7,8,28,36,P. cuvieri,Cerrado,1
108,8,8,28,30,P. cuvieri,Cerrado,1
109,9,8,27,34,P. cuvieri,Cerrado,1
110,10,8,29,40,P. cuvieri,Cerrado,1
111,11,8,26,29,P. cuvieri,Cerrado,1
112,12,8,28,35,P. cuvieri,Cerrado,1
113,13,8,27,46,P. cuvieri,Cerrado,1
114,14,8,26,18,P. cuvieri,Cerrado,1
115,15,8,26,32,P. cuvieri,Cerrado,1
116,16,8,30,69,P. cuvieri,Cerrado,1
117,17,8,27,28,P. cuvieri,Cerrado,1
118,18,8,28,42,P. cuvieri,Cerrado,1
119,19,8,29,39,P. cuvieri,Cerrado,1
120,20,8,29,42,P. cuvieri,Cerrado,1
121,1,9,28,405,S. fuscovarius,Cerrado,1
122,2,9,27,296,S. fuscovarius,Cerrado,1
123,3,9,27,267,S. fuscovarius,Cerrado,1
124,4,9,28,441,S. fuscovarius,Cerrado,1
125,5,9,31,414,S. fuscovarius,Cerrado,1
126,6,9,26,201,S. fuscovarius,Cerrado,1
127,7,9,30,280,S. fuscovarius,Cerrado,1
128,8,9,27,283,S. fuscovarius,Cerrado,1
129,9,9,28,376,S. fuscovarius,Cerrado,1
130,10,9,27,254,S. fuscovarius,Cerrado,1
131,11,9,26,227,S. fuscovarius,Cerrado,1
132,12,9,29,266,S. fuscovarius,Cerrado,1
133,13,9,27,244,S. fuscovarius,Cerrado,1
134,14,9,31,522,S. fuscovarius,Cerrado,1
135,15,9,30,373,S. fuscovarius,Cerrado,1
136,16,9,27,311,S. fuscovarius,Cerrado,1
137,17,9,26,181,S. fuscovarius,Cerrado,1
138,18,9,27,243,S. fuscovarius,Cerrado,1
139,19,9,28,296,S. fuscovarius,Cerrado,1
140,20,9,30,280,S. fuscovarius,Cerrado,1
141,1,10,32,353,S. fuscovarius,Pasture,1
142,2,10,30,237,S. fuscovarius,Pasture,1
143,3,10,30,286,S. fuscovarius,Pasture,1
144,4,10,28,222,S. fuscovarius,Pasture,1
145,5,10,32,365,S. fuscovarius,Pasture,1
146,6,10,31,281,S. fuscovarius,Pasture,1
147,7,10,29,224,S. fuscovarius,Pasture,1
148,8,10,29,279,S. fuscovarius,Pasture,1
149,9,10,28,186,S. fuscovarius,Pasture,1
150,10,10,28,302,S. fuscovarius,Pasture,1
151,11,10,31,282,S. fuscovarius,Pasture,1
152,12,10,27,166,S. fuscovarius,Pasture,1
153,13,10,31,279,S. fuscovarius,Pasture,1
154,14,10,28,193,S. fuscovarius,Pasture,1
155,15,10,31,299,S. fuscovarius,Pasture,1
156,16,10,31,316,S. fuscovarius,Pasture,1
157,17,10,27,175,S. fuscovarius,Pasture,1
158,18,10,29,242,S. fuscovarius,Pasture,1
159,19,10,28,206,S. fuscovarius,Pasture,1
160,20,10,27,186,S. fuscovarius,Pasture,1
161,1,13,40,734,P. nattereri,Sugarcane,1
162,2,13,39,556,P. centralis,Sugarcane,1
163,3,13,37,522,P. nattereri,Sugarcane,1
164,4,13,37,515,P. nattereri,Sugarcane,1
165,5,13,39,559,P. centralis,Sugarcane,1
166,6,13,39,586,P. centralis,Sugarcane,1
167,7,13,36,441,P. nattereri,Sugarcane,1
168,8,13,40,684,P. centralis,Sugarcane,1
169,9,13,38,460,P. centralis,Sugarcane,1
170,10,13,38,484,P. centralis,Sugarcane,1
171,11,13,37,560,P. nattereri,Sugarcane,1
172,12,13,37,604,P. nattereri,Sugarcane,1
173,13,13,36,534,P. nattereri,Sugarcane,1
174,14,13,29,126,P. nattereri,Sugarcane,1
175,15,13,34,327,P. nattereri,Sugarcane,1
176,16,13,40,576,P. centralis,Sugarcane,1
177,17,13,36,370,P. nattereri,Sugarcane,1
178,18,13,31,266,P. nattereri,Sugarcane,1
179,19,13,34,346,P. nattereri,Sugarcane,1
180,20,13,35,318,P. nattereri,Sugarcane,1
181,1,16,32,180,P. cuvieri,Sugarcane,1
182,2,16,32,163,P. cuvieri,Sugarcane,1
183,3,16,31,108,P. cuvieri,Sugarcane,1
184,4,16,35,199,P. cuvieri,Sugarcane,1
185,5,16,35,251,P. cuvieri,Sugarcane,1
186,6,16,36,254,P. cuvieri,Sugarcane,1
187,7,16,35,192,P. cuvieri,Sugarcane,1
188,8,16,34,131,P. cuvieri,Sugarcane,1
189,9,16,34,155,P. cuvieri,Sugarcane,1
190,10,16,33,162,P. cuvieri,Sugarcane,1
191,11,16,34,199,P. cuvieri,Sugarcane,1
192,12,16,33,194,P. cuvieri,Sugarcane,1
193,13,16,31,152,P. cuvieri,Sugarcane,1
194,14,16,31,142,P. cuvieri,Sugarcane,1
195,15,16,31,188,P. cuvieri,Sugarcane,1
196,16,16,34,178,P. cuvieri,Sugarcane,1
197,17,16,33,154,P. cuvieri,Sugarcane,1
198,18,16,31,193,P. cuvieri,Sugarcane,1
199,19,16,29,79,P. cuvieri,Sugarcane,1
200,20,16,,,P. cuvieri,Sugarcane,0
201,1,17,27,100,P. nattereri,Pasture,1
202,2,17,30,89,P. centralis,Pasture,1
203,3,17,30,102,P. centralis,Pasture,1
204,4,17,35,376,P. nattereri,Pasture,1
205,5,17,34,302,P. nattereri,Pasture,1
206,6,17,36,401,P. nattereri,Pasture,1
207,7,17,27,95,P. nattereri,Pasture,1
208,8,17,28,110,P. nattereri,Pasture,1
209,9,17,29,92,P. centralis,Pasture,1
210,10,17,30,111,P. centralis,Pasture,1
211,11,17,,,P. nattereri,Pasture,0
212,12,17,,,P. nattereri,Pasture,0
213,13,17,,,P. nattereri,Pasture,0
214,14,17,,,P. nattereri,Pasture,0
215,15,17,,,P. nattereri,Pasture,0
216,16,17,,,P. nattereri,Pasture,0
217,17,17,,,P. nattereri,Pasture,0
218,18,17,,,P. nattereri,Pasture,0
219,19,17,,,P. nattereri,Pasture,0
220,20,17,,,P. nattereri,Pasture,0
221,1,18,35,300,P. centralis,Sugarcane,1
222,2,18,38,518,P. centralis,Sugarcane,1
223,3,18,28,79,P. nattereri,Sugarcane,1
224,4,18,31,221,P. nattereri,Sugarcane,1
225,5,18,32,300,P. nattereri,Sugarcane,1
226,6,18,37,450,P. centralis,Sugarcane,1
227,7,18,31,239,P. nattereri,Sugarcane,1
228,8,18,31,265,P. nattereri,Sugarcane,1
229,9,18,31,212,P. nattereri,Sugarcane,1
230,10,18,30,189,P. nattereri,Sugarcane,1
231,11,18,31,223,P. nattereri,Sugarcane,1
232,12,18,31,197,P. nattereri,Sugarcane,1
233,13,18,32,279,P. nattereri,Sugarcane,1
234,14,18,29,149,P. nattereri,Sugarcane,1
235,15,18,27,38,P. nattereri,Sugarcane,1
236,16,18,27,81,P. nattereri,Sugarcane,1
237,17,18,27,66,P. nattereri,Sugarcane,1
238,18,18,,,P. nattereri,Sugarcane,0
239,19,18,,,P. nattereri,Sugarcane,0
240,20,18,,,P. nattereri,Sugarcane,0
241,1,19,35,755,S. fuscovarius,Pasture,1
242,2,19,36,791,S. fuscovarius,Pasture,1
243,3,19,35,698,S. fuscovarius,Pasture,1
244,4,19,34,833,S. fuscovarius,Pasture,1
245,5,19,31,478,S. fuscovarius,Pasture,1
246,6,19,35,738,S. fuscovarius,Pasture,1
247,7,19,35,776,S. fuscovarius,Pasture,1
248,8,19,32,592,S. fuscovarius,Pasture,1
249,9,19,34,721,S. fuscovarius,Pasture,1
250,10,19,34,773,S. fuscovarius,Pasture,1
251,11,19,31,566,S. fuscovarius,Pasture,1
252,12,19,34,736,S. fuscovarius,Pasture,1
253,13,19,35,645,S. fuscovarius,Pasture,1
254,14,19,32,539,S. fuscovarius,Pasture,1
255,15,19,35,817,S. fuscovarius,Pasture,1
256,16,19,34,665,S. fuscovarius,Pasture,1
257,17,19,33,663,S. fuscovarius,Pasture,1
258,18,19,29,296,S. fuscovarius,Pasture,1
259,19,19,,,S. fuscovarius,Pasture,0
260,20,19,,,S. fuscovarius,Pasture,0
261,1,20,36,876,S. fuscovarius,Pasture,1
262,2,20,35,709,S. fuscovarius,Pasture,1
263,3,20,35,692,S. fuscovarius,Pasture,1
264,4,20,36,834,S. fuscovarius,Pasture,1
265,5,20,36,858,S. fuscovarius,Pasture,1
266,6,20,35,524,S. fuscovarius,Pasture,1
